UC	画面	アクター	画面要求
規約を参照する	サービス利用規約画面	会議室オーナー	最新のサービス利用規約を全文閲覧でき、改定履歴や同意状況が確認できること
オーナー申請を登録する	オーナー申請画面	会議室オーナー	氏名・連絡先などの申請項目入力と規約同意チェックをセットで行え、申請前に入力内容を確認できること
オーナー申請を審査する	オーナー申請審査画面	オーナー管理担当者	申請内容一覧と詳細を参照し、審査ステータスや審査コメントを記録しながら審査を進められること
オーナー登録を承認する	オーナー登録承認画面	オーナー管理担当者	審査結果に基づき承認操作ができ、承認理由と承認者を記録できること
オーナー申請を却下する	オーナー申請却下画面	オーナー管理担当者	不備内容を指定して却下操作ができ、差戻し通知文を編集して申請者へ連絡できること
オーナープロフィールを登録する	オーナープロフィール登録画面	会議室オーナー	プロフィール項目を入力でき、必須項目と任意項目が明確に区別されていること
オーナープロフィールを更新する	オーナープロフィール更新画面	会議室オーナー	現在のプロフィール内容を確認しながら変更点のみを更新でき、更新前後の差分が把握できること
オーナー退会を申請する	オーナー退会申請画面	会議室オーナー	退会理由を選択・入力し、未清算・公開中物件の有無を事前に確認したうえで申請できること
オーナー退会を承認する	オーナー退会承認画面	オーナー管理担当者	退会申請内容と未清算有無を確認し、承認可否を判定・記録できること
オーナーを退会させる	オーナー退会処理画面	オーナー管理担当者	承認済み退会申請に対して退会処理を実行でき、処理結果と日時を記録できること
オーナー申請内容を参照する	オーナー申請内容参照画面	オーナー管理担当者	申請者情報・添付書類・申請履歴を一覧で参照でき、審査判断に必要な情報にすぐアクセスできること
オーナー審査結果を記録する	オーナー審査結果記録画面	オーナー管理担当者	審査区分（承認・却下・保留）と審査コメントを選択・入力でき、結果確定前に内容を確認できること
会議室物件情報を登録する	会議室物件情報登録画面	会議室オーナー	広さ・価格・機能性などの物件情報を入力でき、写真や設備区分を選択しながら登録できること
会議室運用ルールを設定する	会議室運用ルール設定画面	会議室オーナー	キャンセルポリシーや貸出可否などの運用ルールを選択肢から設定でき、設定内容をプレビューできること
会議室登録を受付する	会議室登録受付画面	会議室管理担当者	オーナーが登録した会議室情報を確認し、受付して公開状態に切り替えられること
会議室評価を参照する	会議室評価参照画面	会議室オーナー	自身の会議室に対する評価一覧と平均評価点、個別コメントを参照できること
会議室を検索する	会議室検索画面	利用者	広さ・価格・機能性・評価などの条件で会議室を絞り込み検索でき、貸出可否状態を確認できること
会議室詳細を参照する	会議室詳細画面	利用者	会議室の物件情報・評価・運用ルールを総合的に参照でき、予約へスムーズに進めること
利用日時を選択する	利用日時選択画面	利用者	会議室の空き状況をカレンダー形式で確認でき、希望する利用日時を選択できること
決済手段を登録する	決済手段登録画面	利用者	クレジットカードや電子マネーなどの決済手段を安全に登録でき、登録済みの決済手段を管理できること
会議室予約を登録する	会議室予約登録画面	利用者	選択した会議室・利用日時・決済手段を確認して予約を確定でき、予約内容の最終確認ができること
会議室予約を受付する	会議室予約受付画面	予約管理担当者	仮予約状態の予約を一覧で確認し、予約を受付して確定状態に切り替えられること
予約を参照する	予約照会画面	利用者	自身の予約一覧と各予約の詳細・ステータスを参照でき、変更・取消操作へ遷移できること
予約を変更する	予約変更・取消画面	利用者	予約内容の変更または取消を行え、キャンセルポリシーに基づく返金可否と手数料が事前に確認できること
予約取消を受付する	予約取消受付画面	予約管理担当者	変更・取消申請を一覧で確認し、ポリシーを確認しながら受付できること
オーナーへの問合せを登録する	オーナー問合せ登録画面	利用者	問合せ対象の会議室・オーナーを選択し、問合せ種別と内容を入力して送信できること
オーナーへの問合せを受付する	オーナー問合せ受付画面	予約管理担当者	利用者からのオーナー宛問合せを一覧で確認し、受付してオーナーへ連携できること
予約内容を確認する	当日予約確認画面	会議室オーナー	当日の予約一覧と利用者情報・利用時間を参照でき、受け入れ準備に必要な情報を確認できること
利用者評価履歴を参照する	利用者評価履歴画面	会議室オーナー	利用者の過去評価履歴・評価点・コメントを参照でき、使用許諾判断の参考にできること
利用者の使用許諾を登録する	利用者使用許諾画面	会議室オーナー	利用者の過去評価を確認したうえで使用許諾可否を登録でき、許諾理由を記録できること
カギ貸出を記録する	カギ貸出記録画面	会議室オーナー	カギの貸出日時と対象予約・利用者を記録でき、貸出履歴として参照できること
カギ受取を記録する	カギ受取記録画面	利用者	カギの受取完了を登録でき、利用開始状態に遷移したことを確認できること
カギ返却を記録する	カギ返却記録画面	利用者	カギの返却完了を登録でき、返却日時と利用終了見込みが確認できること
会議室利用終了を確定する	会議室利用終了確定画面	会議室オーナー	カギ返却状況を確認し、会議室利用終了を確定できること
利用者評価を登録する	利用者評価登録画面	会議室オーナー	利用者に対する評価区分とコメントを登録でき、相互評価の成立条件を満たしていることが確認できること
会議室評価を登録する	会議室評価登録画面	利用者	利用した会議室に対する評価区分とコメントを登録でき、評価タイミング制約が確認できること
ホスト評価を登録する	ホスト評価登録画面	利用者	会議室オーナー（ホスト）に対する評価区分とコメントを登録でき、相互評価状況が確認できること
問合せ内容を参照する	問合せ内容参照画面	会議室オーナー	利用者からの問合せ一覧と問合せ詳細を参照でき、対応優先度を判断できること
問合せ回答を登録する	問合せ回答登録画面	会議室オーナー	問合せ内容を確認しながら回答文を入力・登録でき、送信前に内容を確認できること
会議室別利用実績を集計する	会議室別利用実績集計画面	実績管理担当者	会議室別に利用実績を期間・物件で集計でき、集計結果を一覧・グラフで確認できること
売上実績を集計する	売上実績集計画面	実績管理担当者	会議室別・貸出別の売上実績を期間指定で集計でき、集計条件と結果を確認できること
会議室利用実績を参照する	会議室利用実績参照画面	会議室オーナー	自身の会議室の利用実績と売上実績を期間単位で参照でき、推移をグラフで把握できること
手数料売上を集計する	手数料売上集計画面	サービス運営担当者	会議室別・貸出別の手数料売上を期間指定で集計でき、集計条件とルールを確認できること
手数料売上を分析する	手数料売上分析画面	サービス運営担当者	手数料売上の推移・傾向をグラフや表で分析でき、切り口を変更して比較できること
会員別利用履歴を参照する	会員別利用履歴画面	サービス運営担当者	会員ごとの利用履歴を検索・参照でき、利用頻度や傾向を把握できること
物件別利用履歴を参照する	物件別利用履歴画面	サービス運営担当者	物件ごとの利用履歴を検索・参照でき、物件単位の稼働状況を把握できること
会議室利用状況を集計する	会議室利用状況集計画面	サービス運営担当者	サービス全体の会議室利用状況を期間・エリア等で集計でき、集計条件を指定できること
会議室利用状況を分析する	会議室利用状況分析画面	サービス運営担当者	会議室利用状況の傾向をグラフ・レポートで分析でき、複数の切り口で比較できること
サービス問合せを受付する	サービス問合せ受付画面	サービス運営担当者	利用者からのサービス問合せを一覧で確認し、受付して対応中状態に切り替えられること
サービス問合せに回答する	サービス問合せ回答画面	サービス運営担当者	問合せ内容と過去対応履歴を参照しながら回答文を入力・送信できること
会議室別利用履歴を集計する	会議室別利用履歴集計画面	清算担当者	会議室別の利用履歴を清算対象期間で集計でき、清算対象を確認できること
オーナー清算額を算出する	オーナー清算額算出画面	清算担当者	会議室別利用履歴から清算額と手数料を自動算出でき、算出根拠を確認できること
清算額を承認する	清算額承認画面	清算担当者	算出された清算額を確認して承認でき、承認理由と承認者を記録できること
決済機関へ支払指示を送信する	支払指示送信画面	清算担当者	承認済み清算額を対象に決済機関への支払指示を送信でき、送信結果と履歴を確認できること
オーナー支払結果を確認する	オーナー支払結果確認画面	会議室オーナー	決済機関経由で支払われた清算額と入金日を確認でき、支払明細を参照できること
会議室利用完了を確認する	会議室利用完了確認画面	清算担当者	利用完了した予約を一覧で確認し、利用完了ステータスへ切り替えられること
利用料を算出する	利用料算出画面	清算担当者	予約内容と料金プランから利用料を自動算出でき、算出根拠を確認できること
決済機関へ引落指示を送信する	引落指示送信画面	清算担当者	利用料の引落指示を決済機関へ送信でき、送信対象と送信結果を確認できること
引落結果を確認する	引落結果確認画面	清算担当者	決済機関からの引落結果を一覧で確認でき、成功・失敗ステータスを把握できること
引落失敗を記録し再請求する	引落失敗対応画面	清算担当者	引落失敗した予約を抽出し、失敗原因の記録と再請求操作ができること
